year,month,country,form,kg
2022,5,New Zealand,dried,3094.24
2022,5,New Zealand,frozen,12278.9
2022,5,Russia,dried,344
2022,6,China,dried,3210
2022,6,Hong Kong,dried,400
2022,6,Kazakhstan,dried,356
2022,6,New Zealand,dried,6086.5
2022,6,New Zealand,frozen,1500
2022,6,Russia,dried,170
2022,7,China,dried,13500
2022,7,Hong Kong,dried,3050
2022,7,New Zealand,frozen,17195.2
2022,8,China,dried,6096
2022,8,Hong Kong,dried,400
2022,8,New Zealand,dried,5659.79
2022,8,New Zealand,frozen,1502.35
2022,8,Russia,dried,1264
2022,9,China,dried,4780
2022,9,Hong Kong,dried,400
2022,9,Kazakhstan,dried,1170.1
2022,9,New Zealand,dried,3578.49
2022,9,New Zealand,frozen,800
2022,9,Russia,dried,2007
2022,10,China,dried,14334.3
2022,10,New Zealand,dried,3485.93
2022,10,New Zealand,frozen,1519.33
2022,10,Russia,dried,21482.2
2022,11,China,dried,11862.5
2022,11,Kazakhstan,dried,570.7
2022,11,New Zealand,dried,1750
2022,11,New Zealand,frozen,5000
2022,11,Russia,dried,11937.3
2022,12,China,dried,9467
2022,12,Hong Kong,dried,400
2022,12,New Zealand,frozen,13720
2022,12,Russia,dried,4678.09
2023,1,China,dried,5310
2023,1,Hong Kong,dried,682
2023,1,Kazakhstan,dried,184
2023,1,New Zealand,dried,4560.71
2023,1,New Zealand,frozen,2500
2023,1,Russia,dried,2200.41
2023,2,China,dried,4148
2023,2,Hong Kong,dried,878
2023,2,New Zealand,dried,3446.81
2023,2,New Zealand,frozen,19490
2023,2,Russia,dried,334.3
2023,3,China,dried,4289
2023,3,New Zealand,dried,6089.76
2023,3,New Zealand,frozen,28500
2023,3,Russia,dried,967.2
2023,4,China,dried,9121
2023,4,Hong Kong,dried,2800
2023,4,New Zealand,dried,5128.29
2023,4,New Zealand,frozen,20000
2023,4,Russia,dried,3603.25
2023,5,China,dried,5400
2023,5,Hong Kong,dried,2960
2023,5,New Zealand,dried,4810.19
2023,5,New Zealand,frozen,11067.9
2023,6,China,dried,6690
2023,6,Hong Kong,dried,900
2023,6,New Zealand,dried,5268.2
2023,6,New Zealand,frozen,4572.14
2023,7,China,dried,15790.1
2023,7,Hong Kong,dried,296
2023,7,New Zealand,dried,2411.9
2023,7,New Zealand,frozen,18462
2023,8,China,dried,480
2023,8,New Zealand,dried,7314.96
2023,8,New Zealand,frozen,500
2023,8,Russia,dried,830.79
2023,9,China,dried,2763
2023,9,Kazakhstan,dried,160
2023,9,New Zealand,dried,4278.02
2023,9,Russia,dried,1352
2023,10,China,dried,8900
2023,10,Kazakhstan,dried,488
2023,10,New Zealand,dried,1584.1
2023,10,New Zealand,frozen,5079
2023,10,Russia,dried,2500.25
2023,11,China,dried,5361
2023,11,Hong Kong,dried,4080
2023,11,New Zealand,dried,2935.37
2023,11,New Zealand,frozen,300
2023,11,Russia,dried,6488.69
2023,12,China,dried,5990.7
2023,12,Kazakhstan,dried,262.8
2023,12,New Zealand,frozen,5821.1
2023,12,Russia,dried,10831.7
2024,1,China,dried,8400
2024,1,Hong Kong,dried,86
2024,1,New Zealand,dried,6140.15
2024,1,New Zealand,frozen,7000.95
2024,1,Russia,dried,6754.9
2024,2,China,dried,7800
2024,2,China,frozen,400
2024,2,New Zealand,dried,1185.21
2024,2,New Zealand,frozen,15000.2
2024,2,Russia,dried,1390.21
2024,3,China,dried,5500
2024,3,New Zealand,dried,553.38
2024,3,New Zealand,frozen,19520
2024,3,Russia,dried,1177.84
2024,4,China,dried,9400
2024,4,Russia,dried,4854.43
2024,5,China,dried,8451.25
2024,5,New Zealand,dried,2969.17
2024,5,New Zealand,frozen,11096.1
2024,5,Russia,dried,8625.02
2024,6,China,dried,9551
2024,6,New Zealand,frozen,2723
2024,6,Russia,dried,1128.8
2024,7,China,dried,7982.57
2024,7,Hong Kong,dried,3000
2024,7,New Zealand,dried,2500
2024,7,New Zealand,frozen,530
2024,8,China,dried,3000
2024,8,New Zealand,frozen,3002.18
2024,9,China,dried,1400
2024,9,Hong Kong,dried,1260
2024,9,Russia,dried,576
2024,10,China,dried,3500
2024,10,Kazakhstan,dried,413
2024,10,New Zealand,dried,1000
2024,10,Russia,dried,2500.57
2024,11,China,dried,20255
2024,11,New Zealand,dried,2439.7
2024,11,New Zealand,frozen,3000
2024,11,Russia,dried,2164.38
2024,12,China,dried,4150
2024,12,New Zealand,frozen,15065.9
2024,12,Russia,dried,10687.7
2025,1,China,dried,3500
2025,1,Hong Kong,dried,1598.6
2025,1,New Zealand,frozen,18026
2025,1,Russia,dried,3350.68
2025,2,China,dried,7095
2025,2,New Zealand,dried,322.9
2025,2,New Zealand,frozen,5818.78
2025,2,Russia,dried,5214.75
2025,3,China,dried,5210
2025,3,Hong Kong,dried,400
2025,3,New Zealand,dried,954.46
2025,3,New Zealand,frozen,31412.1
2025,3,Russia,dried,9555.62
2025,4,China,dried,5760
2025,4,Hong Kong,dried,400
2025,4,New Zealand,dried,1024.37
2025,4,New Zealand,frozen,12629.2
2025,4,Russia,dried,3385.44
2025,5,China,dried,4660
2025,5,New Zealand,dried,500
2025,5,New Zealand,frozen,6774.75
2025,5,Russia,dried,1702
2025,6,China,dried,4700
2025,6,New Zealand,frozen,2293.58
2025,6,Russia,dried,2010
2025,7,China,dried,6160
2025,7,New Zealand,frozen,5000
2025,7,Russia,dried,373.5
2025,8,China,dried,14311
2025,8,New Zealand,dried,937.73
2025,8,Russia,dried,806
2025,9,China,dried,14760
2025,9,China,frozen,700
2025,9,Hong Kong,dried,500
2025,9,New Zealand,dried,4573.3
2025,10,China,dried,6044
2025,10,Hong Kong,dried,400
2025,10,Kazakhstan,dried,125
2025,10,New Zealand,frozen,3203.9
2025,10,Russia,dried,2796.53
2025,11,China,dried,4023
2025,11,New Zealand,dried,500
2025,11,Russia,dried,4139.42
2025,12,China,dried,14170
2025,12,China,frozen,650
2025,12,Hong Kong,dried,400
2025,12,Kazakhstan,dried,933
2025,12,New Zealand,frozen,9066.78
2025,12,Russia,dried,3106.57
2026,1,Australia,dried,0.3
2026,1,China,dried,1870.5
2026,1,Hong Kong,dried,500
2026,1,Mongolia,dried,0.3
2026,1,New Zealand,dried,2.2
2026,1,New Zealand,frozen,4000
2026,1,Russia,dried,1350
2026,2,Australia,dried,0.5
2026,2,China,dried,5161.2
2026,2,New Zealand,dried,1.1
2026,2,New Zealand,frozen,9279
2026,2,Russia,dried,3755.6
2026,3,Australia,dried,0.1
2026,3,China,dried,1160
2026,3,Hong Kong,dried,400
2026,3,New Zealand,dried,926
2026,3,New Zealand,frozen,20203.4
2026,3,Russia,dried,8222
2026,3,USA,dried,0.5
2026,4,Australia,dried,0.1
2026,4,China,dried,12696
2026,4,Hong Kong,dried,400
2026,4,New Zealand,dried,775.3
2026,4,New Zealand,frozen,8413.5
2026,4,Russia,dried,5620.2
2026,4,USA,dried,0.1
2026,5,Australia,dried,0.3
2026,5,China,dried,9137
2026,5,New Zealand,dried,973.7
2026,5,New Zealand,frozen,3682
2026,5,Russia,dried,1875
2026,5,USA,dried,1.2
2026,6,Australia,dried,0.5
2026,6,Canada,dried,0.1
2026,6,China,dried,6502.7
2026,6,Hong Kong,dried,500
2026,6,New Zealand,dried,995.7
2026,6,New Zealand,frozen,3051
2026,6,Russia,dried,435.9
