" ","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board"
"2019M02",7556,732282,13325,1315075,825,153363,0,0,0,0,10374,1447728,61563,5435164,19,1486,0,0,0,0,0,0,0,0,44,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,24000,0,0,0,0,0,0,100,24869,0,0,0,0,0,0
"2019M03",6500,650000,2000,180000,1893,908373,0,0,0,0,15917,891764,66203,3844601,0,0,0,0,0,0,0,0,0,0,100,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,105777,150,59461,0,0,0,0,0,0,50,11982,0,0,0,0,0,0
"2019M04",3992,479021,3097,269207,3418,1134694,0,0,0,0,13082,795662,31622,3630733,0,0,0,0,0,0,0,0,0,0,33,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019M05",0,0,768,69098,1492,787309,0,0,0,0,7807,549901,48129,2877477,737,58971,0,0,0,0,0,0,0,0,1645,74829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019M06",1200,108000,0,0,2111,470005,0,0,0,0,5768,86525,0,0,29,2276,0,0,0,0,0,0,0,0,40,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841,54472,0,0,17,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019M07",21166,1956118,1000,90000,716,45993,0,0,0,0,0,0,0,0,139,10969,0,0,0,0,0,0,0,0,17,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,37941,0,0,0,0,0,0
"2019M08",0,0,0,0,2748,688952,0,0,0,0,0,0,0,0,229,15992,0,0,0,0,0,0,0,0,8,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2596,0,0,0,0,0,0,1000,40977,0,0,0,0,0,0
"2019M09",0,0,0,0,350,26112,0,0,0,0,0,0,0,0,305,20917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019M10",0,0,1000,90000,684,46352,0,0,0,0,0,0,3000,47029,358,39719,0,0,0,0,0,0,0,0,55,4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,18069,80,7458,0,0,10,5820,0,0,1000,42878,0,0,0,0,0,0
"2019M11",9300,975588,6201,547844,431,28178,0,0,0,0,6592,95677,53443,2720621,6,805,0,0,0,0,0,0,0,0,40,2503,0,0,45,17982,0,0,0,0,0,0,0,0,0,0,0,0,356,14258,10,5600,0,0,0,0,0,0,280,67720,0,0,0,0,0,0
