Year,Month,Trade,Basis,HS_Code,Product_KR,Product_EN,Country_KR,Country_EN,Quantity_kg,Value_USD1000
2022,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,14.0,11.0
2022,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,2407.0,851.0
2022,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,카자흐스탄,Kazakhstan,1170.0,248.0
2022,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,3.0,1.0
2022,9,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,355.0,83.0
2022,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,19873.0,4277.0
2022,10,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,23.0,13.0
2022,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,15221.0,5140.0
2022,10,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,3.0,1.0
2022,10,Export,"Korea export customs (FOB, USD1000)",0507901110,전지(全枝),Whole stick,필리핀,Philippines,7.0,1.0
2022,10,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,206.0,7.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,16150.0,2791.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,16.0,12.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,15195.0,5416.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,카자흐스탄,Kazakhstan,571.0,121.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,호주,Australia,713.0,150.0
2022,11,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2022,11,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,777.0,185.0
2022,12,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,20467.0,2614.0
2022,12,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,1763.0,617.0
2022,12,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,6323.0,2114.0
2022,12,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,미국,USA,1.0,0.0
2022,12,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2022,12,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,537.0,164.0
2023,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,9395.0,1785.0
2023,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,11.0,9.0
2023,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,3819.0,1447.0
2023,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2023,1,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,698.0,165.0
