Year,Month,Trade,Basis,HS_Code,Product_KR,Product_EN,Country_KR,Country_EN,Quantity_kg,Value_USD1000
2025,5,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,13856.0,1082.0
2025,5,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,7.0,6.0
2025,5,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,1702.0,328.0
2025,5,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2025,5,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,545.0,84.0
2025,6,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,4100.0,603.0
2025,6,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,7.0,5.0
2025,6,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,900.0,144.0
2025,6,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2025,6,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,미국,USA,36.0,4.0
2025,6,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,682.0,105.0
2025,7,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,14054.0,1457.0
2025,7,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,606.0,89.0
2025,7,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,1484.0,252.0
2025,7,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2025,7,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,220.0,55.0
2025,8,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,7208.0,1131.0
2025,8,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,7.0,5.0
2025,8,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,706.0,113.0
2025,8,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,미국,USA,36.0,4.0
2025,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,18074.0,3038.0
2025,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,11.0,7.0
2025,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,600.0,106.0
2025,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,0.0
2025,9,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,미국,USA,588.0,13.0
2025,9,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,658.0,82.0
2025,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,19248.0,2590.0
2025,10,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,7.0,4.0
2025,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,2297.0,547.0
